Title,Date,Category,Description
Công ty nông nghiệp liên quan ông Trần Bá Dương lỗ thêm 260 tỷ đồng,2025-08-30 17:19:00,Kinh doanh,"HAGL Agrico, công ty do ông Trần Bá Dương và Thaco sở hữu hơn 32% vốn, lỗ gần 260 tỷ đồng nửa đầu năm, nâng lỗ lũy kế lên 9.643 tỷ đồng."
Vinamilk tạo điểm nhấn tại triển lãm thành tựu đất nước 80 năm,2025-08-30 19:10:00,Kinh doanh,"Hà Nội Hàng nghìn người tương tác, dùng thử sản phẩm dinh dưỡng Vinamilk, tại triển lãm ""80 năm hành trình Độc lập - Tự do - Hạnh phúc"" đang diễn ra ở Đông Anh."
"Thủ tướng: Doanh nghiệp luôn đồng hành, gắn bó với vận mệnh đất nước",2025-08-30 19:44:00,Kinh doanh,"Thủ tướng khẳng định cộng đồng doanh nghiệp luôn theo Đảng đồng hành cùng dân tộc, gắn bó với vận mệnh đất nước trong suốt chặng đường 80 năm qua."
"Mỹ siết nhập khẩu, nhiều nghề cá Việt nguy cơ mất thị trường",2025-08-30 20:01:00,Kinh doanh,"Mỹ cảnh báo từ 2026, các sản phẩm từ 12 nghề cá như cá ngừ, cá kiếm, mực, cua của Việt Nam có thể ""mất cửa"" vào thị trường nếu không đạt chuẩn về bảo tồn."
Hãng bay giá rẻ Mỹ nộp đơn phá sản hai lần một năm,2025-08-30 20:39:00,Kinh doanh,Hãng hàng không giá rẻ Spirit Airlines vừa nộp đơn xin bảo hộ phá sản lần thứ hai trong một năm qua.
Vietjet bứt phá ấn tượng nửa đầu năm,2025-08-30 20:39:00,Kinh doanh,"Hãng hàng không Vietjet ghi nhận doanh thu hợp nhất 35.837 tỷ đồng, lợi nhuận trước thuế hơn 1.651 tỷ đồng trong nửa đầu năm, tăng 65% so với cùng kỳ."
"Cơ hội được tặng điện thoại, vàng khi nhận quà 2/9 qua Vikki",2025-08-30 21:00:00,Kinh doanh,"Từ 21h ngày 29/8, ngoài quà 100.000 đồng từ Chính phủ qua VNeID, khách mở mới tài khoản Vikki còn có cơ hội nhận điện thoại, vàng SJC."
"Tiền, trái phiếu Việt Nam qua các thời kỳ",2025-08-31 00:03:00,Kinh doanh,"Lịch sử đồng tiền, trái phiếu quốc gia được tái hiện ở gian hàng của Ngân hàng Nhà nước, Bộ Tài chính tại triển lãm thành tựu 80 năm."
Cuộc sống luôn bận rộn của nữ tỷ phú 30 tuổi,2025-08-31 00:05:00,Kinh doanh,"Một ngày của Lucy Guo bắt đầu lúc 5h30 sáng với hai ca tập tại phòng gym, sau đó làm việc liên tục đến mức phải ăn trưa ngay trong cuộc họp."
Giá hồ tiêu lên 153.000 đồng một kg,2025-08-31 00:11:00,Kinh doanh,"Giá hồ tiêu trong nước ngày 30/8 đạt 153.000 đồng một kg, tăng 1.000 đồng so với hôm qua, cao hơn 23% so với tháng 6 và tiệm cận đỉnh tháng 3."
Nỗ lực xóa khoản lỗ lũy kế hàng nghìn tỷ của Winmart và Bách Hóa Xanh,2025-08-31 05:00:00,Kinh doanh,Cùng báo lãi từ năm trước nhưng hai chuỗi bán lẻ hiện đại Winmart và Bách Hóa Xanh vẫn còn khoản lỗ lũy kế hàng nghìn tỷ đồng phải xóa.
Việt Nam bán thêm 1 triệu tín chỉ carbon cho World Bank,2025-08-31 09:19:00,Kinh doanh,Việt Nam chuyển nhượng thêm 1 triệu tấn CO2 giảm thải được từ vùng Bắc Trung Bộ cho Ngân hàng Thế giới (World Bank).
Tỷ phú Mỹ từng làm việc 7 năm không nghỉ,2025-08-31 10:26:00,Kinh doanh,"Tỷ phú đầu tư Mark Cuban cho biết khi khởi nghiệp, ông dồn sức vào công việc đến mức không có kỳ nghỉ nào trong một thời gian dài."
"MSB cùng ROX iPark, ROX Key phát triển giải pháp toàn diện cho doanh nghiệp",2025-08-31 11:00:00,Kinh doanh,"MSB hợp tác ROX iPark và ROX Key phát triển bộ giải pháp về tài chính, vận hành cho doanh nghiệp thuê bất động sản khu công nghiệp."
Các tỷ phú Việt tiếp tục giàu lên trong tháng 8,2025-08-31 12:32:00,Kinh doanh,"Tài sản của các tỷ phú Việt Nam tăng hơn 2 tỷ USD trong một tháng, ông Phạm Nhật Vượng tiếp tục là người giàu nhất."
Vingroup lãi hơn 2.000 tỷ đồng từ thoái vốn công ty con,2025-08-31 13:30:00,Kinh doanh,"Nửa đầu năm, Vingroup lãi hơn 2.000 tỷ đồng từ thoái vốn tại Movian AI và Lighthouse 2."
ATAD đưa công nghệ kết cấu thép đến triển lãm thành tựu đất nước,2025-08-31 15:00:00,Kinh doanh,"Hà Nội ATAD là mảnh ghép trong bức tranh ""Khởi nghiệp kiến quốc"" - tôn vinh thương hiệu quốc gia và doanh nghiệp đầu ngành, tại triển lãm 80 năm Quốc Khánh."
Tôn Nam Kim trưng bày sản phẩm đặc biệt tại triển lãm A80,2025-08-31 15:00:00,Kinh doanh,Hà Nội Nam Kim đưa tôn Zinmag có độ bền vượt trội và khả năng chống ăn mòn trong môi trường khắc nghiệt đến triển lãm 80 năm thành tựu đất nước.
Các tập đoàn hàng đầu Trung Quốc muốn mở rộng đầu tư tại Việt Nam,2025-08-31 15:33:00,Kinh doanh,"Các tập đoàn hàng đầu Trung Quốc về sản xuất xe điện, năng lượng tái tạo, dịch vụ tư vấn kỹ thuật muốn mở rộng đầu tư, hợp tác tại Việt Nam."
Sản xuất của Trung Quốc vẫn giảm,2025-08-31 16:06:00,Kinh doanh,"Chỉ số nhà quản trị mua hàng (PMI) của Trung Quốc vẫn giảm vào tháng 8, nhưng tốc độ đã chậm lại so với tháng trước đó."
VSIP lãi hơn 6 tỷ đồng mỗi ngày,2025-08-31 17:08:00,Kinh doanh,"Nửa đầu năm nay, lợi nhuận sau thuế của VSIP đạt gần 1.127 tỷ đồng, tương đương trung bình mỗi ngày họ lãi hơn 6 tỷ."
Thủ tướng đề nghị Ngân hàng AIIB hỗ trợ Việt Nam vốn làm đường sắt,2025-08-31 17:29:00,Kinh doanh,Thủ tướng đề nghị AIIB hỗ trợ nguồn lực để Việt Nam triển khai đường sắt Lào Cai - Hà Nội - Hải Phòng và lưới điện kết nối Việt Nam với ASEAN.
Gần 5.700 tỷ đồng quà 2/9 đã được tặng cho người dân,2025-08-31 18:38:00,Kinh doanh,"Kho bạc Nhà nước cho biết số tiền chi trả cho người dân đã được hơn một nửa, khoảng 5.700 tỷ đồng."
MB nhận Huân chương Bảo vệ Tổ quốc hạng Nhất,2025-08-31 22:00:00,Kinh doanh,"Hà Nội Thủ tướng Phạm Minh Chính trao Huân chương Bảo vệ Tổ quốc hạng Nhất cho Ngân hàng TMCP Quân đội (MB) tại Hội nghị ""80 năm Doanh nghiệp đồng hành cùng đất nước""."
Có một tỷ đồng nên đầu tư gì?,2025-09-01 00:01:00,Kinh doanh,"Chuyên gia gợi ý đầu tư bất động sản dân cư có pháp lý rõ ràng, các tỉnh lân cận Hà Nội và chứng khoán thông qua chứng chỉ quỹ."
Người Mỹ chi tiêu bất chấp lạm phát,2025-09-01 00:30:00,Kinh doanh,"Chi tiêu tiêu dùng tại Mỹ tháng 7 tăng mạnh nhất trong 4 tháng qua, dù lạm phát đi lên, theo Bộ Thương mại."
Giá vàng có thể tiếp đà tăng tuần này,2025-09-01 06:00:00,Kinh doanh,Phần lớn các chuyên gia của Wall Street dự báo giá vàng tiếp tục tăng nhờ kỳ vọng Fed giảm lãi suất trong tháng 9.
Mỹ vẫn duy trì đàm phán thương mại sau phán quyết tòa án,2025-09-01 08:14:00,Kinh doanh,"Chính quyền Trump tiếp tục đàm phán thương mại với các nước, bất chấp tòa phúc thẩm cho rằng phần lớn thuế quan của tổng thống bất hợp pháp."
Cơn sốt matcha đẩy giá bột trà xanh Nhật Bản tăng vọt,2025-09-01 10:31:00,Kinh doanh,"Cơn sốt matcha toàn cầu chưa hạ nhiệt khiến loại bột trà xanh này ngày càng khan hiếm, giá tăng 2-3 lần một năm."
Lợi nhuận Phú Mỹ Hưng tiếp tục giảm,2025-09-01 13:44:00,Kinh doanh,"Nửa đầu năm 2025, lợi nhuận trước thuế của Phú Mỹ Hưng đạt 1.233 tỷ đồng, giảm gần 27,5% so với cùng kỳ năm ngoái."
Kho bạc đã giải ngân hơn 10.400 tỷ đồng chi phí tặng quà 2/9,2025-09-01 16:16:00,Kinh doanh,"Số tiền giải ngân từ Kho bạc gần 10.429 tỷ đồng tính đến trưa nay, đạt tỷ lệ 96,99% trên dự toán được giao."
Việt Nam - Campuchia hướng tới kim ngạch thương mại 20 tỷ USD,2025-09-01 18:42:00,Kinh doanh,Thủ tướng Phạm Minh Chính đề nghị cùng Campuchia nỗ lực hướng tới kim ngạch thương mại đạt 20 tỷ USD thời gian tới.
Quốc gia đầu tiên cấm ống cá đựng tương sushi của Nhật Bản,2025-09-01 21:54:00,Kinh doanh,"Ống đựng nước tương hình cá được sáng chế tại Nhật Bản năm 1954, thường dùng với món sushi mang đi, nằm trong danh mục nhựa một lần bị cấm tại Nam Australia."
Giá vàng thế giới lên cao nhất 4 tháng,2025-09-02 08:18:00,Kinh doanh,"Giá vàng thế giới đạt 3.481 USD một ounce, cao nhất từ cuối tháng 4, do đồng USD yếu đi và kỳ vọng hạ lãi suất của Fed."
Vì sao các nhà kinh tế đề cao tính độc lập của Fed?,2025-09-02 13:05:00,Kinh doanh,"Fed độc lập ra quyết định có lợi cho tăng trưởng, trong khi lịch sử các lần nhượng bộ tổng thống đều khiến lạm phát cao, theo chuyên gia."
"Dàn tên lửa, UAV Việt Nam phô diễn trong diễu binh",2025-09-02 13:46:00,Thời sự,"Việt Nam Nhiều tên lửa hành trình và đạn đạo tầm xa, cùng UAV trinh sát và cảm tử, lần đầu được Việt Nam phô diễn trong Lễ kỷ niệm, diễu binh diễu hành 80 năm Quốc khánh."
Chiến sĩ 'bắn tim' gửi người dân,2025-09-02 14:02:00,Thời sự,"Hà Nội Trên đường diễu binh từ quảng trường Ba Đình tỏa ra các tuyến phố, chiến sĩ ""bắn tim"" đáp lại sự cổ vũ nhiệt tình của người dân hai bên đường."
​Chin-Su được vinh danh 'thương hiệu thành công',2025-09-02 15:00:00,Kinh doanh,"Brand Footprint Vietnam 2025 đưa Chin-Su vào hạng mục ""Câu chuyện thương hiệu thành công"" vì sức bật và khả năng chinh phục người tiêu dùng bằng chiến lược linh hoạt."
CEO Nestlé bị sa thải,2025-09-02 17:00:00,Kinh doanh,"Nestlé sa thải CEO Laurent Freixe vì ông không công khai quan hệ tình cảm với cấp dưới, đúng một năm sau ngày ông nhậm chức."
Người dân ùn ùn trở lại TP HCM sau kỳ nghỉ lễ Quốc khánh,2025-09-02 18:00:00,Thời sự,"Chiều 2/9, sau kỳ nghỉ lễ kéo dài 4 ngày, người dân từ các tỉnh đổ về TP HCM chuẩn bị đi làm, đi học trở lại khiến các cửa ngõ ùn ứ."
Giá vàng nhẫn lên gần 128 triệu đồng,2025-09-02 19:42:00,Kinh doanh,"Giá vàng thế giới lập đỉnh mới, kéo vàng nhẫn trong nước lên mức gần 128 triệu đồng, tăng 1-2 triệu đồng mỗi lượng."
Ba thanh niên gặp nạn dưới hồ,2025-09-02 20:13:00,Thời sự,"Đăk Lăk Nhóm thanh niên đến khu vực hồ dưới chân đập thủy điện vui chơi, một người bị rơi xuống nước, hai bạn nhảy xuống cứu nhưng cả ba cùng đuối nước."
10 ôtô tông liên hoàn trên cao tốc Phan Thiết - Dầu Giây,2025-09-02 21:01:00,Thời sự,"Đồng Nai Xe tải không giữ khoảng cách an toàn tông vào ôtô 7 chỗ phía trước, gây tai nạn liên hoàn với 9 xe khác, chiều 2/9."
"Pháo hoa rực sáng bầu trời Hà Nội, TP HCM đêm 2/9",2025-09-02 21:55:00,Thời sự,"21h, nhiều điểm bắn pháo hoa tầm thấp và cao được khai hoả, bầu trời Hà Nội, TP HCM sáng rực dịp lễ 80 năm Quốc khánh Việt Nam."
Kéo dài thời gian Triển lãm thành tựu đất nước đến hết 15/9,2025-09-02 22:48:00,Thời sự,"Thủ tướng quyết định kéo dài triển lãm thêm 10 ngày so với kế hoạch ban đầu nhằm giúp người dân có điều kiện tham quan, trải nghiệm."
66 loạt đại bác mừng 80 năm Quốc khánh,2025-09-02 23:44:00,Thời sự,"Hà Nội Tối 2/9, tại sân vận động Mỹ Đình, Đội pháo lễ Lữ đoàn Pháo binh 45 khai hỏa 66 loạt đại bác chào mừng 80 năm Quốc khánh."
Đội hình tăng thiết giáp tham gia diễu binh,2025-09-03 00:00:00,Thời sự,"Các xe tăng hiện đại nhất của Việt Nam, như T-90S và T-62, lần đầu xuất hiện trên quảng trường Ba Đình trong Lễ diễu binh kỷ niệm 80 năm Quốc khánh 2/9."
Thiếu điện - nỗi ám ảnh mới của Nvidia,2025-09-03 00:02:00,Kinh doanh,"Nvidia đang trên đỉnh cao của ngành công nghệ với doanh thu kỷ lục nhưng tình trạng thiếu điện có thể thành ""rào cản"" với đà tăng trưởng của họ."
Nhà đầu tư nên giao dịch chứng khoán thế nào sau nghỉ lễ?,2025-09-03 05:02:00,Kinh doanh,"Xu hướng chứng khoán tăng duy trì sau kỳ nghỉ lễ 2/9, nhưng có cảnh báo rủi ro rung lắc, nhà đầu tư nên quan sát tập trung và chắt lọc cổ phiếu tốt."
300 ngày thần tốc xây dựng nhà triển lãm Kim Quy,2025-09-03 06:00:00,Thời sự,"Mái vòm trung tâm triển lãm quốc gia rộng gấp 14 lần sân bóng được doanh nghiệp Việt thiết kế, thi công trong 10 tháng thay vì hai năm, tạo kỳ tích cho ngành xây dựng trong nước."
Giá vàng thế giới lên cao chưa từng có,2025-09-03 07:02:00,Kinh doanh,"Mỗi ounce vàng tăng gần 60 USD, có lúc lên sát 3.540 USD do khả năng Mỹ giảm lãi suất và rủi ro chính trị - kinh tế tăng."
Mỹ tìm ra hóa chất giúp tái chế nhựa không cần phân loại,2025-09-03 08:00:00,Kinh doanh,"Chất xúc tác gốc nickel có khả năng phân hủy chọn lọc nhựa PE và PP, hai loại chiếm gần hai phần ba lượng nhựa toàn cầu, giúp bỏ qua khâu phân loại trong tái chế."
Chủ chuỗi Haidilao thu hơn 6 tỷ đồng mỗi ngày tại Việt Nam,2025-09-03 08:02:00,Kinh doanh,Super Hi International - đơn vị điều hành thị trường quốc tế của chuỗi Haidilao - ghi nhận doanh thu 1.148 tỷ đồng trong nửa đầu năm ở Việt Nam.
LPBank nhận bằng khen doanh nghiệp đồng hành cùng đất nước,2025-09-03 09:00:00,Kinh doanh,"LPBank nhận bằng khen từ Thủ tướng Phạm Minh Chính về những đóng góp cho an sinh xã hội, tại Hội nghị ""80 năm Doanh nghiệp đồng hành cùng đất nước""."
Cửa ngõ phía đông TP HCM ùn tắc 3 km,2025-09-03 09:02:00,Thời sự,"Sáng 3/9, hàng nghìn ôtô, xe máy nối đuôi nhau từ quốc lộ 13 đến cầu Bình Triệu 2, gây ùn tắc hơn 3 km trong ngày đầu đi làm sau kỳ nghỉ lễ."
Giá vàng miếng tăng gần 3 triệu đồng một lượng,2025-09-03 09:52:00,Kinh doanh,"Sau kỳ nghỉ lễ, vàng miếng tăng 2,8 triệu, lên 133,4 triệu đồng một lượng, cao hơn gần 21 triệu so với thế giới."
Cát tràn ngập cao tốc Vĩnh Hảo - Phan Thiết,2025-09-03 10:05:00,Thời sự,"Sau mưa lớn, cát từ khu vực dân sinh tràn xuống che lấp khoảng 100 m mặt đường cao tốc Vĩnh Hảo - Phan Thiết (đoạn qua xã Hàm Liêm, Bình Thuận cũ), gây kẹt xe nhiều giờ."
Lãnh đạo chủ chốt vi phạm sẽ không được tổ chức quốc tang,2025-09-03 11:40:00,Thời sự,"Bốn chức danh Tổng Bí thư, Chủ tịch nước, Thủ tướng, Chủ tịch Quốc hội nếu bị cho thôi chức vụ, nghỉ công tác, nghỉ hưu do vi phạm thì không được tổ chức quốc tang khi qua đời."
'Cuba tự hào có Việt Nam là quốc gia anh em',2025-09-03 12:16:00,Thời sự,Bộ trưởng các Lực lượng vũ trang cách mạng Cuba cảm ơn những đóng góp trong lúc đất nước khó khăn và khẳng định Cuba tự hào vì có Việt Nam là quốc gia anh em.
MSB triển khai giải pháp vay thế chấp online trong 4 giờ,2025-09-03 14:00:00,Kinh doanh,"MSB triển khai M-Flex, cho phép doanh nghiệp thực hiện vay thế chấp linh hoạt online với hạn mức tới 15 tỷ đồng, phê duyệt trong vòng 4 giờ."
Bí thư Đà Nẵng làm Phó tổng Thanh tra Chính phủ,2025-09-03 14:21:00,Thời sự,"Ông Nguyễn Văn Quảng, Bí thư Thành ủy Đà Nẵng, được Thủ tướng tiếp nhận, bổ nhiệm giữ chức Phó tổng Thường trực Thanh tra Chính phủ, ngày 3/9."
Ông Vũ Hải Quân giữ chức Thứ trưởng thường trực Bộ Khoa học và Công nghệ,2025-09-03 14:33:00,Thời sự,"Ông Vũ Hải Quân, Chủ tịch Hội đồng, Giám đốc Đại học Quốc gia TP HCM, được Thủ tướng điều động, bổ nhiệm giữ chức Thứ trưởng Thường trực Bộ Khoa học và Công nghệ, ngày 3/9."
"Bộ Giáo dục, Y tế có tân Thứ trưởng",2025-09-03 15:17:00,Thời sự,Thủ tướng điều động Giám đốc Đại học Quốc gia Hà Nội Lê Quân làm Thứ trưởng Bộ Giáo dục và Đào tạo; Phó bí thư Thường trực Tỉnh ủy Lai Châu Vũ Mạnh Hà làm Thứ trưởng Thường trực Bộ Y tế.
Chuỗi cà phê lớn nhất Việt Nam lãi hơn 3 tỷ đồng mỗi ngày,2025-09-03 15:17:00,Kinh doanh,"Highlands Coffee - chuỗi cà phê lớn nhất Việt Nam - có lợi nhuận EBITDA hơn 572 tỷ đồng nửa đầu năm, tăng 5,8% so với cùng kỳ năm ngoái."
Chứng khoán trầm lắng sau đợt lễ,2025-09-03 15:25:00,Kinh doanh,"Trong ngày giao dịch trở lại sau đợt lễ, tiền vào chứng khoán giảm sâu, còn VN-Index gần như đi ngang vùng 1.680 điểm."
Nestle rơi vào khủng hoảng khi CEO bị sa thải,2025-09-03 15:39:00,Kinh doanh,"Nestle thay Chủ tịch và hai CEO chỉ trong hơn một năm, khiến tình hình càng bất ổn khi việc kinh doanh không đạt kỳ vọng."
Thủ tướng bổ nhiệm lãnh đạo Viện Hàn lâm và Thứ trưởng Tư pháp,2025-09-03 15:56:00,Thời sự,"Ngày 3/9, Thủ tướng quyết định điều động, bổ nhiệm một số nhân sự cấp cao tại Viện Hàn lâm Khoa học xã hội, Bộ Tư pháp, Viện Hàn lâm Khoa học và Công nghệ Việt Nam."
Ông Trump giục Tòa án Tối cao sớm ra phán quyết về thuế quan,2025-09-03 16:00:00,Kinh doanh,"Chính quyền Tổng thống Trump sẽ yêu cầu Tòa án Tối cao sớm phán quyết về ""tuyên bố phần lớn thuế quan là bất hợp pháp"" của tòa phúc thẩm."
Chuỗi hội thảo nghề nghiệp Prudential thu hút hàng trăm ứng viên,2025-09-03 16:00:00,Kinh doanh,"Chuỗi hội thảo nghề nghiệp của Prudential kết hợp kiến thức và trải nghiệm thực tiễn, giúp ứng viên chủ động định hướng sự nghiệp trước biến động nhanh của thị trường lao động."
Chuyến tàu đưa quân nhân rời Hà Nội sau lễ diễu binh,2025-09-03 16:34:00,Thời sự,"Chiều 3/9, tàu SE67 đưa gần 660 quân nhân miền Trung, miền Nam về đơn vị sau khi hoàn thành nhiệm vụ tham gia Lễ kỷ niệm, diễu binh diễu hành 80 năm Quốc khánh (A80)."
Tình hình sản xuất cải thiện hai tháng liên tiếp,2025-09-03 16:52:00,Kinh doanh,"Hoạt động sản xuất của Việt Nam cải thiện liên tục hai tháng qua, riêng sản lượng đã tăng 4 tháng liền, theo S&P Global."
Tai nạn giao thông giảm trong dịp nghỉ lễ Quốc khánh,2025-09-03 17:02:00,Thời sự,"Trong bốn ngày nghỉ lễ dịp 2/9, cả nước xảy ra 204 vụ tai nạn giao thông làm 116 người chết, 128 người bị thương, giảm cả ba thông số với cùng kỳ năm ngoái."
"Cần cẩu ở Vành đai 3 TP HCM sập, đè nam công nhân tử vong",2025-09-03 18:40:00,Thời sự,"Cần cẩu trên công trường Vành đai 3 đổ sập khiến nam công nhân tử vong, một người bị thương, chiều 3/9."
