Title,Date,Category,Description,Url
Ông Nguyễn Duy Lâm tái đắc cử Bí thư Hà Tĩnh,2025-10-02 08:14:00,Thời sự,"Ông Nguyễn Duy Lâm, Bí thư Tỉnh ủy Hà Tĩnh đương nhiệm, được bầu tiếp tục giữ chức Bí thư Tỉnh ủy nhiệm kỳ 2025-2030.",https://vnexpress.net/ong-nguyen-duy-lam-tai-dac-cu-bi-thu-ha-tinh-4945983.html
Đà Nẵng yêu cầu hoàn tất điều động cán bộ trước 15/10,2025-10-01 20:49:00,Thời sự,"Bí thư Thành ủy Đà Nẵng Lương Nguyễn Minh Triết yêu cầu các sở, ngành nhanh chóng hoàn thành phương án điều động, luân chuyển cán bộ về cơ sở sau sáp nhập, chậm nhất ngày 15/10.",https://vnexpress.net/da-nang-yeu-cau-hoan-tat-dieu-dong-can-bo-truoc-15-10-4946138.html
Nội thành Hà Nội còn hơn 10 điểm ngập,2025-10-01 19:25:00,Thời sự,"Tối 1/10, 11 điểm ngập ở nội thành Hà Nội đều nằm ngoài lưu vực sông Tô Lịch, nơi chưa được đầu tư xây dựng hệ thống thoát nước đồng bộ.",https://vnexpress.net/noi-thanh-ha-noi-con-hon-10-diem-ngap-4946104.html
Đề xuất nghỉ Tết Bính Ngọ 9 ngày,2025-10-02 11:08:00,Thời sự,"Bộ Nội vụ vừa trình Thủ tướng phương án nghỉ Tết Âm lịch 2026 kéo dài 9 ngày, từ 14/2 đến hết 22/2, gồm 5 ngày chính thức nối tiếp 4 ngày cuối tuần.",https://vnexpress.net/de-xuat-nghi-tet-binh-ngo-9-ngay-4946344.html
Bí thư Quảng Ngãi làm Phó ban Tổ chức Trung ương,2025-10-01 17:53:00,Thời sự,"Bà Bùi Thị Quỳnh Vân, Bí thư Tỉnh ủy Quảng Ngãi, được Bộ Chính trị điều động, bổ nhiệm giữ chức Phó ban Tổ chức Trung ương.",https://vnexpress.net/bi-thu-quang-ngai-lam-pho-ban-to-chuc-trung-uong-4946109.html
Hơn 500 tỷ đồng hỗ trợ đồng bào bị thiệt hại do bão Bualoi,2025-10-01 17:49:00,Thời sự,"Tập đoàn Vingroup dự kiến hỗ trợ 500 tỷ đồng, TP Đà Nẵng trích ngân sách và phát động đợt quyên góp ủng hộ đồng bào chịu thiệt hại nặng nề do bão Bualoi.",https://vnexpress.net/hon-500-ty-dong-ho-tro-dong-bao-bi-thiet-hai-do-bao-bualoi-4945928.html
Mở rộng cao tốc Yên Bái - Lào Cai lên 4 làn xe,2025-10-01 13:49:00,Thời sự,"Tuyến cao tốc Yên Bái - Lào Cai dài 121 km sẽ được mở rộng từ 2 lên 4 làn xe, tốc độ thiết kế 80 km/h, dự kiến hoàn thành năm 2026.",https://vnexpress.net/mo-rong-cao-toc-yen-bai-lao-cai-len-4-lan-xe-4945917.html
Sở Xây dựng Hà Nội: Trận mưa 30/9 lớn nhất trong hàng chục năm,2025-10-02 07:25:00,Thời sự,"Lãnh đạo Sở Xây dựng Hà Nội cho rằng trận mưa ngày 30/9 lớn nhất hàng chục năm, vượt quá khả năng của hệ thống thoát nước, một số điểm có thể ngập cả tuần.",https://vnexpress.net/so-xay-dung-ha-noi-tran-mua-30-9-lon-nhat-trong-hang-chuc-nam-4946161.html
Hoàn tất chi trả chế độ nghỉ hưu sớm cho 36.500 người trước 15/10,2025-10-02 08:45:00,Thời sự,Bộ trưởng Nội vụ Phạm Thị Thanh Trà cho biết trước 15/10 sẽ hoàn tất chi trả chế độ cho 36.542 người nghỉ hưu sớm theo chủ trương tinh gọn bộ máy.,https://vnexpress.net/hoan-tat-chi-tra-che-do-nghi-huu-som-cho-36-500-nguoi-truoc-15-10-4946223.html
Bùn dày nửa mét ở trung tâm Yên Bái,2025-10-01 13:36:00,Thời sự,"Lào Cai Sau khi nước rút, lớp bùn hơn 40 cm phủ kín phố phường Yên Bái, bộ đội cùng người dân khẩn trương dọn dẹp để khôi phục giao thông, sinh hoạt, sáng 1/10.",https://vnexpress.net/bun-day-nua-met-o-trung-tam-yen-bai-4945923.html
"Nghi nổ khí gas, 4 người bị thương",2025-10-04 20:12:00,Thời sự,"Hải Phòng Sau tiếng nổ lớn chiều 4/10, quán ""Thắng ốc"" và hai ki-ốt bán trà sữa bên sân vận động xã Tiên Lãng đổ sập, 4 người bị thương.",https://vnexpress.net/nghi-no-khi-gas-4-nguoi-bi-thuong-4947315.html#box_comment_vne
Dọn dẹp sau bão Bualoi,2025-10-01 11:55:00,Thời sự,"Hai hôm nay trời hửng nắng, lũ rút, người dân Hà Tĩnh, Nghệ An, Quảng Trị cấp tập dọn dẹp nhà cửa, công sở.",https://vnexpress.net/don-dep-sau-bao-bualoi-4945622.html
Dự kiến diện mạo tương lai công viên dọc sông Tô Lịch,2025-10-01 14:07:00,Thời sự,"Hà Nội Dọc hai bên sông Tô Lịch, nhiều tiện ích phục vụ nhân dân như đường dạo, sân chơi thể thao, quảng trường, cây xanh... sẽ được xây dựng.",https://vnexpress.net/du-kien-dien-mao-tuong-lai-cong-vien-doc-song-to-lich-4943428.html
Lũ các sông miền Bắc đang lên,2025-10-01 10:38:00,Thời sự,"Mưa giảm từ đêm qua, song nhiều thủy điện xả kết hợp lũ thượng nguồn đổ về khiến mực nước nhiều sông miền Bắc như sông Hồng, Thái Bình đang lên.",https://vnexpress.net/lu-cac-song-mien-bac-dang-len-4945812.html
Áp thấp nhiệt đới xuất hiện gần Biển Đông,2025-10-01 12:57:00,Thời sự,"Mặc dù còn ở ngoài khơi Philippines, cả cơ quan khí tượng Việt Nam và quốc tế chung nhận định áp thấp nhiệt đới sẽ mạnh lên thành bão và đi vào Biển Đông.",https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4945937.html
